time,from,to,n
1999-01-04,114,65,2
1999-01-04,114,169,2
1999-01-07,114,110,4
1999-01-07,114,112,4
1999-01-07,114,169,2
1999-01-08,114,145,2
1999-01-08,114,169,8
1999-01-12,114,169,4
1999-01-13,114,22,2
1999-01-13,114,29,2
1999-01-13,114,38,2
1999-01-13,114,50,2
1999-01-13,114,65,2
1999-01-13,114,110,2
1999-01-13,114,112,2
1999-01-13,114,123,2
1999-01-13,114,145,6
1999-01-13,114,155,2
1999-01-13,114,160,2
1999-01-13,114,169,6
1999-01-15,114,155,2
1999-01-15,114,169,4
1999-01-18,114,38,2
1999-01-18,114,110,2
1999-01-18,114,155,4
1999-01-18,114,169,2
1999-01-20,114,155,4
1999-01-23,114,155,2
1999-01-27,114,155,16
1999-01-28,114,169,2
1999-02-01,114,155,6
1999-02-10,114,169,4
1999-02-22,114,169,2
1999-03-04,114,169,2
1999-03-05,114,22,2
1999-03-10,114,169,6
1999-03-19,114,38,2
1999-03-19,114,169,2
1999-03-23,114,169,2
1999-03-25,114,38,2
1999-03-25,114,65,4
1999-03-25,114,155,2
1999-04-01,114,155,2
1999-04-12,114,65,2
1999-05-03,65,38,2
1999-05-03,114,110,2
1999-05-04,38,65,2
1999-05-04,38,112,2
1999-05-05,114,169,2
1999-05-10,65,22,1
1999-05-10,65,160,1
1999-05-10,155,114,6
1999-05-10,155,145,2
1999-05-11,22,65,2
1999-05-11,112,65,2
1999-05-11,112,114,2
1999-05-11,114,155,2
1999-05-11,155,110,4
1999-05-11,169,110,2
1999-05-12,114,112,2
1999-05-12,155,114,2
1999-05-12,155,169,2
1999-05-12,169,114,4
1999-05-13,114,169,2
1999-05-13,160,22,3
1999-05-13,169,114,8
1999-05-17,155,110,2
1999-05-17,155,114,2
1999-05-17,169,114,2
1999-05-18,155,110,2
1999-05-19,114,38,4
1999-05-19,114,155,6
1999-05-20,38,114,2
1999-05-20,155,114,2
1999-05-20,169,114,4
1999-05-21,114,165,4
1999-05-21,114,169,2
1999-05-21,169,114,4
1999-05-21,169,165,4
1999-05-24,38,65,2
1999-05-24,107,114,2
1999-05-24,114,107,2
1999-05-24,169,110,2
1999-05-24,169,114,2
1999-05-25,38,11,2
1999-05-25,107,114,4
1999-05-25,155,110,4
1999-05-25,155,169,2
1999-05-25,169,114,2
1999-05-26,169,110,4
1999-05-26,169,114,2
1999-05-26,169,155,2
1999-05-26,169,165,2
1999-05-27,38,11,2
1999-05-27,65,22,1
1999-05-27,65,160,1
1999-05-27,169,46,2
1999-05-27,169,114,6
1999-05-28,155,110,2
1999-05-28,169,110,2
1999-05-28,169,114,2
1999-05-28,169,155,2
1999-05-28,169,165,4
1999-06-01,114,38,2
1999-06-01,155,110,2
1999-06-01,169,110,2
1999-06-01,169,114,2
1999-06-01,169,155,2
1999-06-01,169,165,2
1999-06-02,38,11,4
1999-06-02,114,110,4
1999-06-02,114,155,4
1999-06-02,114,165,4
1999-06-02,114,169,4
1999-06-02,169,6,2
1999-06-02,169,110,2
1999-06-02,169,114,2
1999-06-02,169,155,2
1999-06-02,169,165,2
1999-06-06,169,114,2
1999-06-08,169,114,4
1999-06-09,107,114,6
1999-06-11,107,114,2
1999-06-13,114,155,2
1999-06-14,38,11,2
1999-06-14,50,50,2
1999-06-14,50,167,2
1999-06-14,114,107,2
1999-06-14,155,114,2
1999-06-15,38,11,2
1999-06-15,50,167,2
1999-06-16,38,96,2
1999-06-16,114,107,4
1999-06-16,114,112,4
1999-06-16,145,128,2
1999-06-16,169,114,4
1999-06-17,50,167,2
1999-06-17,160,22,1
1999-06-18,50,167,2
1999-06-22,160,22,1
1999-06-24,114,107,12
1999-06-24,155,114,2
1999-06-25,112,107,2
1999-06-25,114,165,2
1999-06-28,50,167,2
1999-06-28,114,110,2
1999-06-28,114,155,2
1999-06-28,114,169,2
1999-06-29,50,167,6
1999-06-29,114,107,4
