District,Population,Area,Density,Region,Code
Central and Western,244600,12.44,< 20000,HK,CW
Eastern,574500,18.56,< 40000,HK,EA
Southern,269200,38.85,< 10000,HK,SO
Wan Chai,150900,9.83,< 20000,HK,WC
Sham Shui Po,390600,9.35,< 50000,KL,SS
Kowloon City,405400,10.02,< 50000,KL,KC
Kwun Tong,641100,11.27,>= 50000,KL,KU
Wong Tai Sin,426200,9.3,< 50000,KL,WT
Yau Tsim Mong,318100,6.99,< 50000,KL,YT
Islands,146900,175.12,< 10000,NT,IS
Kwai Tsing,507100,23.34,< 30000,NT,KI
North,310800,136.61,< 10000,NT,NO
Sai Kung,448600,129.65,< 10000,NT,SK
Sha Tin,648200,68.71,< 10000,NT,ST
Tai Po,307100,136.15,< 10000,NT,TP
Tsuen Wan,303600,61.71,< 10000,NT,TW
Tuen Mun,495900,82.89,< 10000,NT,TM
Yuen Long,607200,138.46,< 10000,NT,YL
